Site,AF Computer Name,Location Name,Location ID
Baldwin,BALPI,Baldwin,ae83b3d6db486810f9a0abc5ca9619bf
Bellingham,BELPI01,Bellingham Energy Facility,19801bb5db111300f9a0abc5ca961960
Blackstone,BLAPI,Blackstone Energy Facility,576753b5db511300f9a0abc5ca96199d
Brightside,BRSPIHIST01,Brightside Solar Plant,797e78a4db2fb490f9a0abc5ca961929
Calumet,CALHIST01 ,Calumet Energy Facility,b5f35b3ddb111300f9a0abc5ca961905
Casco Bay,CBENTPPI02,Casco Bay Energy Facility,a1f31b3ddb111300f9a0abc5ca961989
Coleto Creek,CCPNTPPI01,Coleto Creek,8580d7b5db111300f9a0abc5ca9619a2
Decordova,DECAPPPIW01 ,Decordova,88685f2cdb2e0b8001d9f9961d961999
Decordova Battery,DECAPPPIW03,Decordova,88685f2cdb2e0b8001d9f9961d961999
Emerald Grove,EMGPIHIST01,Emerald Grove Plant,46fef8e4db2fb490f9a0abc5ca96197d
Ennis,ENNPI01WP ,Ennis Energy Facility,e76753b5db511300f9a0abc5ca9619df
Fayette,FAYNTPPI01,Fayette Energy Facility,d1801bb5db111300f9a0abc5ca961971
Forney,FNYHIST01,Forney,3674ac24dbaec78001d9f9961d9619bc
Graham,GRHIST,Graham,54481ab9db185b004c04f5361d9619e2
Hanging Rock,HRPI01,Hanging Rock Energy Facility,b1f31b3ddb111300f9a0abc5ca9619fb
Hays Energy Facility,HAYNTPPI01,Hays Energy Facility,4580d7b5db111300f9a0abc5ca9619aa
Hopewell,HOPPI01WP,Hopewell Energy Facility,91801bb5db111300f9a0abc5ca96195d
Independence,INDNTPPI02,Independence,449337d6db486810f9a0abc5ca96199f
Kendall,KEGNTPPI01 ,Kendall Energy Facility,25f31b3ddb111300f9a0abc5ca961982
Kincaid,KCSVPI01,#N/A,
Kosse Mine,LKMPRAPPPIW01,Kosse Mine,6a74ac24dbaec78001d9f9961d961968
Lake Hubbard,LHHIST,Lake Hubbard,4d483eacdb6a0b8001d9f9961d96199e
Lake Road,LRSVPI01,Lake Road Energy Facility,19801bb5db111300f9a0abc5ca96194c
Lamar,LLAPRAPPPIW01,Lamar,7395a4a4dbaec78001d9f9961d9619ba
Liberty,LIBNTPPI01,Liberty Electric Energy,ddee4d35dba61304f9a0abc5ca961994
Martin Lake,LMLPRAPPPIW01,Martin Lake,f795a4a4dbaec78001d9f9961d9619b5
Mass Power,MASSPWRPI01,Masspower Energy Facility,5d801bb5db111300f9a0abc5ca96196a
Miami Fort,MFSU58,Miami Fort,0580d7b5db111300f9a0abc5ca961994
Midlothian,MIDPI,Midlothian Energy Facility,4180d7b5db111300f9a0abc5ca96194a
Milford,MILNTPPI01,Milford Energy Facility,51801bb5db111300f9a0abc5ca961990
Morgan Creek,MCCTCEMHIST,Morgan Creek,4c1960e8dbaec78001d9f9961d961904
Moss Landing,MLENTPPI02,MLB350,0580d7b5db111300f9a0abc5ca96198e
Moss Landing Battery (RDP in from Moss Landing),MLBHIST01,MLB350,0580d7b5db111300f9a0abc5ca96198e
Newton,NEWTON_PI,Newton Plant,9d93b7d6db486810f9a0abc5ca961927
Oak Grove,LOGPRAPPPIW01 ,Oak Grove,3e74ac24dbaec78001d9f9961d9619a8
Oakland,OKENTPPI01,Oakland Energy Facility,2df31b3ddb111300f9a0abc5ca9619b0
Odessa,TXODESAPS01,Odessa,5ce10660dba60b8001d9f9961d961996
Ontelaunee,ONTELVMPPI01,Ontelaunee Energy Facility,edf31b3ddb111300f9a0abc5ca961979
Permian Basin,PBCTCEMHIST,Permian Basin,0c58c3e0dbea0b8001d9f9961d96198f
Pleasants,PLEASANTSPISRVR,Pleasants Energy Facility,936753b5db511300f9a0abc5ca9619d8
Sayreville,EWIS-SAY,Sayreville,2414b5b8db5f0c10135aef07059619e9
Stryker Creek,SCHIST,Stryker Creek,e87e3245db585910aef6257bca96199f
Trinidad,TRHIST,Trinidad,f9d6fce8dbeec78001d9f9961d9619d0
Upton,UPNHIST01,Upton,02c797791b29e414ada0dca4bd4bcbdd
Washington,WEPI01,Washington Energy Facility,61ee4d35dba61304f9a0abc5ca9619a7
Wise,WISPI01WP ,Wise Energy Facility,f5f35b3ddb111300f9a0abc5ca961908
